Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
566,6,2013-10-12,3120,359,1,0,0,0
567,6,2013-10-12,3430,471,1,0,0,0
568,6,2013-10-12,5131,468,1,0,0,0
569,6,2013-10-12,2933,373,1,0,0,0
570,6,2013-10-12,2841,493,1,0,0,0
571,6,2013-10-12,9696,733,1,0,0,0
572,6,2013-10-12,6024,548,1,0,0,0
573,6,2013-10-12,2933,274,1,0,0,0
574,6,2013-10-12,7235,616,1,0,0,0
575,6,2013-10-12,2174,219,1,0,0,0
576,6,2013-10-12,5955,938,1,0,0,0
577,6,2013-10-12,3401,483,1,0,0,0
578,6,2013-10-12,6976,687,1,0,0,0
579,6,2013-10-12,8300,993,1,0,0,0
580,6,2013-10-12,6575,1091,1,0,0,0
581,6,2013-10-12,2278,275,1,0,0,0
582,6,2013-10-12,4862,617,1,0,0,0
583,6,2013-10-12,2340,284,1,0,0,0
584,6,2013-10-12,3751,370,1,0,0,0
585,6,2013-10-12,3642,610,1,0,0,0
586,6,2013-10-12,17003,2841,1,0,0,0
587,6,2013-10-12,9897,780,1,0,0,0
588,6,2013-10-12,4169,449,1,0,0,0
589,6,2013-10-12,2661,332,1,0,0,0
590,6,2013-10-12,5497,467,1,0,0,0
591,6,2013-10-12,3516,313,1,0,0,0
592,6,2013-10-12,2516,340,1,0,0,0
593,6,2013-10-12,5620,769,1,0,0,0
594,6,2013-10-12,2234,240,1,0,0,0
595,6,2013-10-12,14960,1860,1,0,0,0
596,6,2013-10-12,4397,715,1,0,0,0
597,6,2013-10-12,4219,630,1,0,0,0
598,6,2013-10-12,6766,694,1,0,0,0
599,6,2013-10-12,11355,1034,1,0,0,0
600,6,2013-10-12,5706,593,1,0,0,0
601,6,2013-10-12,4856,396,1,0,0,0
602,6,2013-10-12,4871,451,1,0,0,0
603,6,2013-10-12,4961,712,1,0,0,0
604,6,2013-10-12,6938,560,1,0,0,0
605,6,2013-10-12,6053,498,1,0,0,0
606,6,2013-10-12,3823,392,1,0,0,0
607,6,2013-10-12,1788,164,1,0,0,0
608,6,2013-10-12,4776,469,1,0,0,0
609,6,2013-10-12,2690,296,1,0,0,0
610,6,2013-10-12,3011,405,1,0,0,0
611,6,2013-10-12,5492,485,1,0,0,0
612,6,2013-10-12,7199,481,1,0,0,0
613,6,2013-10-12,6104,1032,1,0,0,0
614,6,2013-10-12,5113,791,1,0,0,0
615,6,2013-10-12,8834,1137,1,0,0,0
616,6,2013-10-12,5863,599,1,0,0,0
617,6,2013-10-12,3110,290,1,0,0,0
618,6,2013-10-12,6548,527,1,0,0,0
619,6,2013-10-12,2438,233,1,0,0,0
620,6,2013-10-12,7628,737,1,0,0,0
621,6,2013-10-12,4533,689,1,0,0,0
622,6,2013-10-12,2087,217,1,0,0,0
623,6,2013-10-12,4752,596,1,0,0,0
624,6,2013-10-12,4162,444,1,0,0,0
625,6,2013-10-12,4580,496,1,0,0,0
626,6,2013-10-12,8773,813,1,0,0,0
627,6,2013-10-12,5910,668,1,0,0,0
628,6,2013-10-12,3009,431,1,0,0,1
629,6,2013-10-12,9158,835,1,0,0,0
630,6,2013-10-12,3014,349,1,0,0,0
631,6,2013-10-12,3659,506,1,0,0,0
632,6,2013-10-12,6203,850,1,0,0,0
