Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
416,1,2015-02-02,14687,1629,1,1,0,0
417,1,2015-02-02,9595,866,1,1,0,0
418,1,2015-02-02,7908,719,1,1,0,0
419,1,2015-02-02,7559,1071,1,1,0,1
420,1,2015-02-02,5746,484,1,1,0,0
421,1,2015-02-02,9953,1016,1,1,0,0
422,1,2015-02-02,4952,494,1,1,0,0
423,1,2015-02-02,11675,1817,1,1,0,1
424,1,2015-02-02,9946,1009,1,1,0,0
425,1,2015-02-02,4592,552,1,1,0,0
426,1,2015-02-02,7110,776,1,1,0,0
427,1,2015-02-02,10742,1003,1,1,0,0
428,1,2015-02-02,5382,395,1,1,0,0
429,1,2015-02-02,5766,421,1,1,0,0
430,1,2015-02-02,9829,733,1,1,0,0
431,1,2015-02-02,10455,1014,1,1,0,0
432,1,2015-02-02,13878,1755,1,1,0,0
433,1,2015-02-02,7241,792,1,1,0,0
434,1,2015-02-02,11263,718,1,1,0,0
435,1,2015-02-02,4609,466,1,1,0,0
436,1,2015-02-02,7921,852,1,1,0,0
437,1,2015-02-02,8222,716,1,1,0,0
438,1,2015-02-02,8556,761,1,1,0,0
439,1,2015-02-02,11196,1183,1,1,0,1
440,1,2015-02-02,6998,722,1,1,0,0
441,1,2015-02-02,8848,848,1,1,0,0
442,1,2015-02-02,5777,555,1,1,0,0
443,1,2015-02-02,7095,629,1,1,0,0
444,1,2015-02-02,12354,1344,1,1,0,0
445,1,2015-02-02,8843,1065,1,1,0,0
446,1,2015-02-02,6615,807,1,1,0,0
447,1,2015-02-02,6743,743,1,1,0,0
448,1,2015-02-02,10252,810,1,1,0,0
449,1,2015-02-02,15214,1853,1,1,0,0
450,1,2015-02-02,9687,979,1,1,0,0
451,1,2015-02-02,6344,508,1,1,0,0
452,1,2015-02-02,6044,501,1,1,0,0
453,1,2015-02-02,8802,838,1,1,0,0
454,1,2015-02-02,8802,932,1,1,0,1
455,1,2015-02-02,7730,452,1,1,0,0
456,1,2015-02-02,6776,866,1,1,0,0
457,1,2015-02-02,6384,501,1,1,0,0
458,1,2015-02-02,7919,727,1,1,0,0
459,1,2015-02-02,13599,1450,1,1,0,0
460,1,2015-02-02,6316,507,1,1,0,1
461,1,2015-02-02,4865,453,1,1,0,0
462,1,2015-02-02,6670,800,1,1,0,1
463,1,2015-02-02,9100,1282,1,1,0,0
464,1,2015-02-02,12235,1434,1,1,0,1
465,1,2015-02-02,11439,780,1,1,0,0
466,1,2015-02-02,8034,747,1,1,0,0
467,1,2015-02-02,16585,1871,1,1,0,0
468,1,2015-02-02,6206,656,1,1,0,0
469,1,2015-02-02,15565,1896,1,1,0,1
470,1,2015-02-02,14843,1755,1,1,0,0
471,1,2015-02-02,7619,603,1,1,0,0
472,1,2015-02-02,7067,899,1,1,0,0
473,1,2015-02-02,5057,610,1,1,0,0
474,1,2015-02-02,11187,977,1,1,0,1
475,1,2015-02-02,7411,1016,1,1,0,0
476,1,2015-02-02,9977,992,1,1,0,0
477,1,2015-02-02,5190,361,1,1,0,0
