Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
48,5,2014-10-24,4132,411,1,1,0,1
49,5,2014-10-24,7643,560,1,1,0,0
50,5,2014-10-24,4233,376,1,1,0,1
53,5,2014-10-24,5447,589,1,1,0,1
54,5,2014-10-24,8580,764,1,1,0,0
55,5,2014-10-24,5307,676,1,1,0,1
56,5,2014-10-24,7316,528,1,1,0,1
57,5,2014-10-24,8517,858,1,1,0,1
59,5,2014-10-24,6048,597,1,1,0,0
60,5,2014-10-24,8228,716,1,1,0,1
61,5,2014-10-24,4688,566,1,1,0,0
62,5,2014-10-24,6787,765,1,1,0,0
63,5,2014-10-24,7272,671,1,1,0,1
64,5,2014-10-24,11182,855,1,1,0,0
65,5,2014-10-24,5119,469,1,1,0,0
66,5,2014-10-24,6519,576,1,1,0,0
67,5,2014-10-24,7647,834,1,1,0,0
68,5,2014-10-24,6921,1048,1,1,0,1
69,5,2014-10-24,9080,1185,1,1,0,1
70,5,2014-10-24,6726,660,1,1,0,0
71,5,2014-10-24,9568,815,1,1,0,0
73,5,2014-10-24,4501,493,1,1,0,1
74,5,2014-10-24,5542,798,1,1,0,0
75,5,2014-10-24,5528,622,1,1,0,1
77,5,2014-10-24,7207,646,1,1,0,1
78,5,2014-10-24,4181,536,1,1,0,0
79,5,2014-10-24,5518,578,1,1,0,0
80,5,2014-10-24,7157,556,1,1,0,1
82,5,2014-10-24,9106,876,1,1,0,0
83,5,2014-10-24,4106,366,1,1,0,0
84,5,2014-10-24,12927,1416,1,1,0,0
85,5,2014-10-24,6956,950,1,1,0,1
86,5,2014-10-24,4735,584,1,1,0,0
87,5,2014-10-24,6104,749,1,1,0,1
88,5,2014-10-24,6506,712,1,1,0,0
90,5,2014-10-24,7530,1020,1,1,0,0
91,5,2014-10-24,4027,481,1,1,0,0
92,5,2014-10-24,6441,632,1,1,0,0
93,5,2014-10-24,7054,735,1,1,0,0
94,5,2014-10-24,6983,678,1,1,0,0
95,5,2014-10-24,7399,829,1,1,0,1
96,5,2014-10-24,5361,532,1,1,0,1
97,5,2014-10-24,7391,782,1,1,0,1
98,5,2014-10-24,5557,503,1,1,0,0
101,5,2014-10-24,7332,769,1,1,0,1
102,5,2014-10-24,6562,1038,1,1,0,0
103,5,2014-10-24,4592,435,1,1,0,1
104,5,2014-10-24,9911,1291,1,1,0,1
105,5,2014-10-24,4972,557,1,1,0,0
106,5,2014-10-24,8631,843,1,1,0,1
107,5,2014-10-24,7721,1055,1,1,0,0
109,5,2014-10-24,6066,713,1,1,0,1
110,5,2014-10-24,3533,466,1,1,0,1
111,5,2014-10-24,6171,552,1,1,0,1
112,5,2014-10-24,6331,805,1,1,0,0
114,5,2014-10-24,5544,635,1,1,0,0
116,5,2014-10-24,7128,790,1,1,0,1
117,5,2014-10-24,4380,543,1,1,0,0
118,5,2014-10-24,7407,684,1,1,0,1
119,5,2014-10-24,5778,635,1,1,0,1
120,5,2014-10-24,6780,696,1,1,0,1
121,5,2014-10-24,5135,610,1,1,0,1
